23:33:45.165001;Log;Started
23:33:45.171996;MQTT;State;Starting...
23:33:45.182990;MQTT;State;Started
23:33:45.201979;MQTT;Send;USS/SS/FwdCam/Health;65,27,62.5,Started,Started,NotStarted,Heartbeat,no
23:33:48.206263;MQTT;Send;USS/SS/FwdCam/Health;65,27,76.4,Started,Started,NotStarted,Heartbeat,no
23:33:51.210550;MQTT;Send;USS/SS/FwdCam/Health;65,27,67.6,Started,Started,NotStarted,Heartbeat,no
23:33:54.256811;MQTT;Send;USS/SS/FwdCam/Health;65,27,68.2,Started,Started,NotStarted,Heartbeat,no
23:33:54.639592;MQTT;Receive;USS/TS/VC;Started
23:33:57.311068;MQTT;Send;USS/SS/FwdCam/Health;65,27,99.7,Started,Started,NotStarted,Heartbeat,no
23:34:00.411299;MQTT;Send;USS/SS/FwdCam/Health;65,27,99.0,Started,Started,NotStarted,Heartbeat,no
23:34:03.431575;MQTT;Send;USS/SS/FwdCam/Health;65,27,94.9,Started,Started,NotStarted,Heartbeat,no
23:34:06.443854;MQTT;Send;USS/SS/FwdCam/Health;65,27,91.5,Started,Started,NotStarted,Heartbeat,no
23:34:09.457135;MQTT;Send;USS/SS/FwdCam/Health;65,27,83.7,Started,Started,NotStarted,Heartbeat,no
23:34:12.464417;MQTT;Send;USS/SS/FwdCam/Health;65,27,80.6,Started,Started,NotStarted,Heartbeat,no
23:34:15.473699;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.6,Started,Started,NotStarted,Heartbeat,no
23:34:18.480983;MQTT;Send;USS/SS/FwdCam/Health;65,27,44.4,Started,Started,NotStarted,Heartbeat,no
23:34:21.486267;MQTT;Send;USS/SS/FwdCam/Health;65,27,46.1,Started,Started,NotStarted,Heartbeat,no
23:34:24.491553;MQTT;Send;USS/SS/FwdCam/Health;65,27,48.3,Started,Started,NotStarted,Heartbeat,no
23:34:27.496837;MQTT;Send;USS/SS/FwdCam/Health;65,27,46.6,Started,Started,NotStarted,Heartbeat,no
23:34:30.506119;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.0,Started,Started,NotStarted,Heartbeat,no
23:34:33.517419;MQTT;Send;USS/SS/FwdCam/Health;65,27,58.8,Started,Started,NotStarted,Heartbeat,no
23:34:36.522684;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.6,Started,Started,NotStarted,Heartbeat,no
23:34:39.527969;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.8,Started,Started,NotStarted,Heartbeat,no
23:34:42.533253;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.3,Started,Started,NotStarted,Heartbeat,no
23:34:45.538538;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.4,Started,Started,NotStarted,Heartbeat,no
23:34:48.543838;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.8,Started,Started,NotStarted,Heartbeat,no
23:34:51.549139;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.6,Started,Started,NotStarted,Heartbeat,no
23:34:54.554443;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.8,Started,Started,NotStarted,Heartbeat,no
23:34:57.559739;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.4,Started,Started,NotStarted,Heartbeat,no
23:35:00.565024;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.6,Started,Started,NotStarted,Heartbeat,no
23:35:03.571309;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.7,Started,Started,NotStarted,Heartbeat,no
23:35:06.581609;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.5,Started,Started,NotStarted,Heartbeat,no
23:35:09.587893;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.4,Started,Started,NotStarted,Heartbeat,no
23:35:12.593211;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.5,Started,Started,NotStarted,Heartbeat,no
23:35:15.598494;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.0,Started,Started,NotStarted,Heartbeat,no
23:35:18.603761;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.9,Started,Started,NotStarted,Heartbeat,no
23:35:21.609044;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.7,Started,Started,NotStarted,Heartbeat,no
23:35:24.614330;MQTT;Send;USS/SS/FwdCam/Health;65,27,34.9,Started,Started,NotStarted,Heartbeat,no
23:35:27.621631;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.1,Started,Started,NotStarted,Heartbeat,no
23:35:30.626917;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.8,Started,Started,NotStarted,Heartbeat,no
23:35:33.632182;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.8,Started,Started,NotStarted,Heartbeat,no
23:35:36.638115;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.4,Started,Started,NotStarted,Heartbeat,no
23:35:39.643418;MQTT;Send;USS/SS/FwdCam/Health;65,27,35.4,Started,Started,NotStarted,Heartbeat,no
23:35:42.648702;MQTT;Send;USS/SS/FwdCam/Health;65,27,42.0,Started,Started,NotStarted,Heartbeat,no
23:35:45.653986;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.3,Started,Started,NotStarted,Heartbeat,no
23:35:48.659253;MQTT;Send;USS/SS/FwdCam/Health;65,27,35.3,Started,Started,NotStarted,Heartbeat,no
23:35:51.665673;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.3,Started,Started,NotStarted,Heartbeat,no
23:35:54.670976;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.8,Started,Started,NotStarted,Heartbeat,no
23:35:57.676261;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.1,Started,Started,NotStarted,Heartbeat,no
23:36:00.696299;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.3,Started,Started,NotStarted,Heartbeat,no
23:36:03.716307;MQTT;Send;USS/SS/FwdCam/Health;65,27,85.6,Started,Started,NotStarted,Heartbeat,no
23:36:06.733980;MQTT;Send;USS/SS/FwdCam/Health;65,27,64.6,Started,Started,NotStarted,Heartbeat,no
23:36:09.745712;MQTT;Send;USS/SS/FwdCam/Health;65,27,72.6,Started,Started,NotStarted,Heartbeat,no
23:36:12.763431;MQTT;Send;USS/SS/FwdCam/Health;65,27,51.5,Started,Started,NotStarted,Heartbeat,no
