16:42:22.976020;Log;Started
16:42:22.983015;MQTT;State;Starting...
16:42:24.004260;MQTT;State;Error, failed to start
16:42:24.010087;MQTT;State;Starting...
16:42:25.033370;MQTT;State;Error, failed to start
16:42:25.039269;MQTT;State;Starting...
16:42:26.098314;MQTT;State;Error, failed to start
16:42:26.104109;MQTT;State;Starting...
16:42:27.217334;MQTT;State;Error, failed to start
16:42:27.225334;MQTT;State;Starting...
16:42:28.376515;MQTT;State;Error, failed to start
16:42:28.381512;MQTT;State;Starting...
16:42:29.401563;MQTT;State;Error, failed to start
16:42:29.409564;MQTT;State;Starting...
16:42:30.605961;MQTT;State;Error, failed to start
16:42:30.613952;MQTT;State;Starting...
16:42:31.722879;MQTT;State;Error, failed to start
16:42:31.728873;MQTT;State;Starting...
16:42:32.853784;MQTT;State;Error, failed to start
16:42:32.859784;MQTT;State;Starting...
16:42:34.084835;MQTT;State;Error, failed to start
16:42:34.089833;MQTT;State;Starting...
16:42:35.313948;MQTT;State;Error, failed to start
16:42:35.319946;MQTT;State;Starting...
16:42:36.543200;MQTT;State;Error, failed to start
16:42:36.553199;MQTT;State;Starting...
16:42:37.774530;MQTT;State;Error, failed to start
16:42:37.781525;MQTT;State;Starting...
