17:09:22.948332;Log;Started
17:09:22.955324;MQTT;State;Starting...
17:09:22.995302;MQTT;State;Started
17:09:23.023285;MQTT;Send;USS/SS/FwdCam/Health;65,27,61.9,Started,Started,NotStarted,Heartbeat,no
17:09:26.032568;MQTT;Send;USS/SS/FwdCam/Health;65,27,59.5,Started,Started,NotStarted,Heartbeat,no
17:09:29.040850;MQTT;Send;USS/SS/FwdCam/Health;65,27,59.9,Started,Started,NotStarted,Heartbeat,no
17:09:32.055133;MQTT;Send;USS/SS/FwdCam/Health;65,27,66.4,Started,Started,NotStarted,Heartbeat,no
17:09:35.065412;MQTT;Send;USS/SS/FwdCam/Health;65,27,53.0,Started,Started,NotStarted,Heartbeat,no
17:09:38.074694;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.2,Started,Started,NotStarted,Heartbeat,no
17:09:41.086976;MQTT;Send;USS/SS/FwdCam/Health;65,27,53.4,Started,Started,NotStarted,Heartbeat,no
17:09:44.098259;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.9,Started,Started,NotStarted,Heartbeat,no
17:09:47.107536;MQTT;Send;USS/SS/FwdCam/Health;65,27,73.9,Started,Started,NotStarted,Heartbeat,no
17:09:50.116820;MQTT;Send;USS/SS/FwdCam/Health;65,27,52.1,Started,Started,NotStarted,Heartbeat,no
17:09:53.125104;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.1,Started,Started,NotStarted,Heartbeat,no
17:09:56.133391;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.3,Started,Started,NotStarted,Heartbeat,no
17:09:59.141670;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.4,Started,Started,NotStarted,Heartbeat,no
17:10:02.150951;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.8,Started,Started,NotStarted,Heartbeat,no
17:10:05.160233;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.4,Started,Started,NotStarted,Heartbeat,no
17:10:08.172513;MQTT;Send;USS/SS/FwdCam/Health;65,27,55.2,Started,Started,NotStarted,Heartbeat,no
17:10:11.185808;MQTT;Send;USS/SS/FwdCam/Health;65,27,48.1,Started,Started,NotStarted,Heartbeat,no
17:10:14.196082;MQTT;Send;USS/SS/FwdCam/Health;65,27,47.2,Started,Started,NotStarted,Heartbeat,no
17:10:17.206357;MQTT;Send;USS/SS/FwdCam/Health;65,27,49.7,Started,Started,NotStarted,Heartbeat,no
17:10:20.216639;MQTT;Send;USS/SS/FwdCam/Health;65,27,51.2,Started,Started,NotStarted,Heartbeat,no
17:10:23.228922;MQTT;Send;USS/SS/FwdCam/Health;65,27,52.3,Started,Started,NotStarted,Heartbeat,no
17:10:26.241202;MQTT;Send;USS/SS/FwdCam/Health;65,27,49.7,Started,Started,NotStarted,Heartbeat,no
17:10:29.252483;MQTT;Send;USS/SS/FwdCam/Health;65,27,48.9,Started,Started,NotStarted,Heartbeat,no
17:10:32.262763;MQTT;Send;USS/SS/FwdCam/Health;65,27,49.7,Started,Started,NotStarted,Heartbeat,no
17:10:35.272047;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.8,Started,Started,NotStarted,Heartbeat,no
17:10:38.295319;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.3,Started,Started,NotStarted,Heartbeat,no
17:10:40.345148;MQTT;Receive;USS/TS/VC/ForwardCamControl;CamStart
17:10:41.304601;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.8,Started,Started,NotStarted,Heartbeat,no
17:10:44.313885;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.5,Started,Started,NotStarted,Heartbeat,no
17:10:47.324165;MQTT;Send;USS/SS/FwdCam/Health;65,27,66.2,Started,Started,NotStarted,Heartbeat,no
17:10:50.336462;MQTT;Send;USS/SS/FwdCam/Health;65,27,59.2,Started,Started,NotStarted,Heartbeat,no
17:10:53.346727;MQTT;Send;USS/SS/FwdCam/Health;65,27,95.5,Started,Started,NotStarted,Heartbeat,no
17:10:56.359007;MQTT;Send;USS/SS/FwdCam/Health;65,27,82.1,Started,Started,NotStarted,Heartbeat,no
17:10:59.384282;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.0,Started,Started,NotStarted,Heartbeat,no
17:11:02.399560;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.2,Started,Started,NotStarted,Heartbeat,no
17:11:05.409843;MQTT;Send;USS/SS/FwdCam/Health;65,27,49.8,Started,Started,NotStarted,Heartbeat,no
17:11:08.419124;MQTT;Send;USS/SS/FwdCam/Health;65,27,53.2,Started,Started,NotStarted,Heartbeat,no
17:11:10.026207;MQTT;Receive;USS/TS/VC/FwdCamControl;CamStart
17:11:10.075180;Camera;State;Starting...
17:11:10.225093;Camera;State;Started
17:11:11.429405;MQTT;Send;USS/SS/FwdCam/Health;65,27,65.5,Started,Started,NotStarted,Heartbeat,no
17:11:14.440686;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.3,Started,Started,NotStarted,Heartbeat,no
17:11:17.466959;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.5,Started,Started,NotStarted,Heartbeat,no
17:11:20.483236;MQTT;Send;USS/SS/FwdCam/Health;65,27,52.3,Started,Started,NotStarted,Heartbeat,no
17:11:23.498519;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.5,Started,Started,NotStarted,Heartbeat,no
17:11:26.511798;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.1,Started,Started,NotStarted,Heartbeat,no
17:11:29.519079;MQTT;Send;USS/SS/FwdCam/Health;65,27,63.0,Started,Started,NotStarted,Heartbeat,no
17:11:32.529361;MQTT;Send;USS/SS/FwdCam/Health;65,27,52.1,Started,Started,NotStarted,Heartbeat,no
17:11:35.537643;MQTT;Send;USS/SS/FwdCam/Health;65,27,51.7,Started,Started,NotStarted,Heartbeat,no
17:11:38.560919;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.5,Started,Started,NotStarted,Heartbeat,no
17:11:41.571200;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.9,Started,Started,NotStarted,Heartbeat,no
17:11:44.583481;MQTT;Send;USS/SS/FwdCam/Health;65,27,37.3,Started,Started,NotStarted,Heartbeat,no
17:11:47.589779;MQTT;Send;USS/SS/FwdCam/Health;65,27,39.5,Started,Started,NotStarted,Heartbeat,no
17:11:50.596146;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.4,Started,Started,NotStarted,Heartbeat,no
17:11:53.601430;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.9,Started,Started,NotStarted,Heartbeat,no
17:11:56.607733;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.5,Started,Started,NotStarted,Heartbeat,no
17:11:59.612997;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.5,Started,Started,NotStarted,Heartbeat,no
17:12:02.619283;MQTT;Send;USS/SS/FwdCam/Health;65,27,31.8,Started,Started,NotStarted,Heartbeat,no
17:12:05.625567;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.7,Started,Started,NotStarted,Heartbeat,no
17:12:08.632868;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.8,Started,Started,NotStarted,Heartbeat,no
