20:13:35.171025;Log;Started
20:13:35.171025;MQTT;State;Starting...
20:13:56.218510;MQTT;State;Error, failed to start
20:13:56.226037;SerialIMU;State;Starting...
20:13:56.727090;SerialIMU;State;Serial Failed
20:13:58.742878;MQTT;State;Starting...
20:14:19.776276;MQTT;State;Error, failed to start
20:14:21.782199;MQTT;State;Starting...
20:14:42.815808;MQTT;State;Error, failed to start
20:14:44.828830;MQTT;State;Starting...
