12:44:13.129793;MQTT;Send;USS/SS/FwdCam/Health/;65,27,73.6,Started,Started,NotStarted,Heartbeat,no
12:44:16.140800;MQTT;Send;USS/SS/FwdCam/Health/;65,27,54.4,Started,Started,NotStarted,Heartbeat,no
12:44:19.158277;MQTT;Send;USS/SS/FwdCam/Health/;65,27,59.9,Started,Started,NotStarted,Heartbeat,no
12:44:22.160882;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.3,Started,Started,NotStarted,Heartbeat,no
12:44:25.166259;MQTT;Send;USS/SS/FwdCam/Health/;65,27,53.8,Started,Started,NotStarted,Heartbeat,no
12:44:28.171370;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.0,Started,Started,NotStarted,Heartbeat,no
12:44:31.183270;MQTT;Send;USS/SS/FwdCam/Health/;65,27,32.4,Started,Started,NotStarted,Heartbeat,no
12:44:33.061936;MQTT;Receive;USS/TS/VC/;Started
12:44:34.187936;MQTT;Send;USS/SS/FwdCam/Health/;65,27,81.5,Started,Started,NotStarted,Heartbeat,no
12:44:37.225868;MQTT;Send;USS/SS/FwdCam/Health/;65,27,90.3,Started,Started,NotStarted,Heartbeat,no
12:44:40.243224;MQTT;Send;USS/SS/FwdCam/Health/;65,27,86.8,Started,Started,NotStarted,Heartbeat,no
12:44:43.265057;MQTT;Send;USS/SS/FwdCam/Health/;65,27,86.8,Started,Started,NotStarted,Heartbeat,no
12:44:46.271559;MQTT;Send;USS/SS/FwdCam/Health/;65,27,58.9,Started,Started,NotStarted,Heartbeat,no
12:44:49.276662;MQTT;Send;USS/SS/FwdCam/Health/;65,27,53.8,Started,Started,NotStarted,Heartbeat,no
12:44:52.285294;MQTT;Send;USS/SS/FwdCam/Health/;65,27,27.1,Started,Started,NotStarted,Heartbeat,no
12:44:55.295046;MQTT;Send;USS/SS/FwdCam/Health/;65,27,27.6,Started,Started,NotStarted,Heartbeat,no
12:44:58.311738;MQTT;Send;USS/SS/FwdCam/Health/;65,27,33.9,Started,Started,NotStarted,Heartbeat,no
12:45:01.317771;MQTT;Send;USS/SS/FwdCam/Health/;65,27,39.1,Started,Started,NotStarted,Heartbeat,no
12:45:04.335421;MQTT;Send;USS/SS/FwdCam/Health/;65,27,35.2,Started,Started,NotStarted,Heartbeat,no
12:45:07.345478;MQTT;Send;USS/SS/FwdCam/Health/;65,27,32.8,Started,Started,NotStarted,Heartbeat,no
12:45:10.364957;MQTT;Send;USS/SS/FwdCam/Health/;65,27,41.2,Started,Started,NotStarted,Heartbeat,no
