16:42:56.734201;Log;Started
16:42:56.741196;MQTT;State;Starting...
16:42:56.754189;MQTT;State;Started
16:42:56.762184;MQTT;Send;USS/SS/FwdCam/Health;65,27,75.0,Started,Started,NotStarted,Heartbeat,no
16:42:59.771467;MQTT;Send;USS/SS/FwdCam/Health;65,27,50.9,Started,Started,NotStarted,Heartbeat,no
16:43:02.777751;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.3,Started,Started,NotStarted,Heartbeat,no
16:43:05.813015;MQTT;Send;USS/SS/FwdCam/Health;65,27,53.0,Started,Started,NotStarted,Heartbeat,no
16:43:08.820313;MQTT;Send;USS/SS/FwdCam/Health;65,27,64.1,Started,Started,NotStarted,Heartbeat,no
16:43:11.827579;MQTT;Send;USS/SS/FwdCam/Health;65,27,65.4,Started,Started,NotStarted,Heartbeat,no
16:43:14.832863;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.5,Started,Started,NotStarted,Heartbeat,no
16:43:16.129120;MQTT;Receive;USS/TS/VC/;Started
16:43:17.839145;MQTT;Send;USS/SS/FwdCam/Health;65,27,88.7,Started,Started,NotStarted,Heartbeat,no
16:43:20.867419;MQTT;Send;USS/SS/FwdCam/Health;65,27,85.3,Started,Started,NotStarted,Heartbeat,no
16:43:23.886690;MQTT;Send;USS/SS/FwdCam/Health;65,27,85.1,Started,Started,NotStarted,Heartbeat,no
16:43:26.906965;MQTT;Send;USS/SS/FwdCam/Health;65,27,92.9,Started,Started,NotStarted,Heartbeat,no
16:43:29.917247;MQTT;Send;USS/SS/FwdCam/Health;65,27,63.1,Started,Started,NotStarted,Heartbeat,no
16:43:32.925529;MQTT;Send;USS/SS/FwdCam/Health;65,27,61.2,Started,Started,NotStarted,Heartbeat,no
16:43:35.990780;MQTT;Send;USS/SS/FwdCam/Health;65,27,60.7,Started,Started,NotStarted,Heartbeat,no
16:43:39.002056;MQTT;Send;USS/SS/FwdCam/Health;65,27,59.8,Started,Started,NotStarted,Heartbeat,no
16:43:42.012339;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.8,Started,Started,NotStarted,Heartbeat,no
16:43:45.025615;MQTT;Send;USS/SS/FwdCam/Health;65,27,54.1,Started,Started,NotStarted,Heartbeat,no
16:43:48.037894;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.0,Started,Started,NotStarted,Heartbeat,no
16:43:51.045174;MQTT;Send;USS/SS/FwdCam/Health;65,27,35.0,Started,Started,NotStarted,Heartbeat,no
16:43:54.050477;MQTT;Send;USS/SS/FwdCam/Health;65,27,31.0,Started,Started,NotStarted,Heartbeat,no
16:43:57.055761;MQTT;Send;USS/SS/FwdCam/Health;65,27,33.4,Started,Started,NotStarted,Heartbeat,no
16:44:00.061152;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.6,Started,Started,NotStarted,Heartbeat,no
16:44:03.066417;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.7,Started,Started,NotStarted,Heartbeat,no
16:44:06.071699;MQTT;Send;USS/SS/FwdCam/Health;65,27,71.7,Started,Started,NotStarted,Heartbeat,no
16:44:09.077982;MQTT;Send;USS/SS/FwdCam/Health;65,27,52.6,Started,Started,NotStarted,Heartbeat,no
16:44:10.809993;MQTT;Receive;USS/TS/VC/;Started
16:44:12.086264;MQTT;Send;USS/SS/FwdCam/Health;65,27,84.0,Started,Started,NotStarted,Heartbeat,no
16:44:15.206482;MQTT;Send;USS/SS/FwdCam/Health;65,27,85.3,Started,Started,NotStarted,Heartbeat,no
16:44:18.224759;MQTT;Send;USS/SS/FwdCam/Health;65,27,79.1,Started,Started,NotStarted,Heartbeat,no
16:44:21.237037;MQTT;Send;USS/SS/FwdCam/Health;65,27,97.6,Started,Started,NotStarted,Heartbeat,no
16:44:24.252315;MQTT;Send;USS/SS/FwdCam/Health;65,27,67.3,Started,Started,NotStarted,Heartbeat,no
16:44:27.263599;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.9,Started,Started,NotStarted,Heartbeat,no
16:44:30.271875;MQTT;Send;USS/SS/FwdCam/Health;65,27,65.2,Started,Started,NotStarted,Heartbeat,no
16:44:33.282157;MQTT;Send;USS/SS/FwdCam/Health;65,27,55.4,Started,Started,NotStarted,Heartbeat,no
16:44:36.291440;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.3,Started,Started,NotStarted,Heartbeat,no
16:44:39.302720;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.8,Started,Started,NotStarted,Heartbeat,no
16:44:42.314000;MQTT;Send;USS/SS/FwdCam/Health;65,27,55.5,Started,Started,NotStarted,Heartbeat,no
16:44:45.325280;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.2,Started,Started,NotStarted,Heartbeat,no
16:44:48.335559;MQTT;Send;USS/SS/FwdCam/Health;65,27,55.8,Started,Started,NotStarted,Heartbeat,no
16:44:51.348838;MQTT;Send;USS/SS/FwdCam/Health;65,27,58.3,Started,Started,NotStarted,Heartbeat,no
16:44:54.357132;MQTT;Send;USS/SS/FwdCam/Health;65,27,55.9,Started,Started,NotStarted,Heartbeat,no
16:44:57.368397;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.1,Started,Started,NotStarted,Heartbeat,no
16:45:00.377795;MQTT;Send;USS/SS/FwdCam/Health;65,27,42.5,Started,Started,NotStarted,Heartbeat,no
16:45:03.383157;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.8,Started,Started,NotStarted,Heartbeat,no
16:45:06.390439;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.6,Started,Started,NotStarted,Heartbeat,no
16:45:09.395740;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.2,Started,Started,NotStarted,Heartbeat,no
16:45:12.401023;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.5,Started,Started,NotStarted,Heartbeat,no
16:45:15.406307;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.4,Started,Started,NotStarted,Heartbeat,no
16:45:18.412569;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.7,Started,Started,NotStarted,Heartbeat,no
16:45:21.418854;MQTT;Send;USS/SS/FwdCam/Health;65,27,65.6,Started,Started,NotStarted,Heartbeat,no
