12:35:28.156676;Log;Started
12:35:28.173825;MQTT;State;Starting...
12:35:28.188220;MQTT;State;Started
12:35:28.190258;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.0,Started,Started,NotStarted,Heartbeat,no
12:35:31.201308;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.6,Started,Started,NotStarted,Heartbeat,no
12:35:34.214302;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.6,Started,Started,NotStarted,Heartbeat,no
12:35:37.275461;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.8,Started,Started,NotStarted,Heartbeat,no
12:35:40.288610;MQTT;Send;USS/SS/FwdCam/Health/;65,27,47.2,Started,Started,NotStarted,Heartbeat,no
12:35:43.301314;MQTT;Send;USS/SS/FwdCam/Health/;65,27,48.1,Started,Started,NotStarted,Heartbeat,no
12:35:46.319339;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.7,Started,Started,NotStarted,Heartbeat,no
12:35:49.336311;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.0,Started,Started,NotStarted,Heartbeat,no
12:35:52.338856;MQTT;Send;USS/SS/FwdCam/Health/;65,27,55.5,Started,Started,NotStarted,Heartbeat,no
12:35:55.349494;MQTT;Send;USS/SS/FwdCam/Health/;65,27,49.8,Started,Started,NotStarted,Heartbeat,no
12:35:58.356349;MQTT;Send;USS/SS/FwdCam/Health/;65,27,45.4,Started,Started,NotStarted,Heartbeat,no
12:36:01.362124;MQTT;Send;USS/SS/FwdCam/Health/;65,27,43.2,Started,Started,NotStarted,Heartbeat,no
12:36:04.364911;MQTT;Send;USS/SS/FwdCam/Health/;65,27,46.1,Started,Started,NotStarted,Heartbeat,no
12:36:07.368168;MQTT;Send;USS/SS/FwdCam/Health/;65,27,42.7,Started,Started,NotStarted,Heartbeat,no
12:36:10.377432;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.6,Started,Started,NotStarted,Heartbeat,no
12:36:13.387974;MQTT;Send;USS/SS/FwdCam/Health/;65,27,46.5,Started,Started,NotStarted,Heartbeat,no
12:36:16.395875;MQTT;Send;USS/SS/FwdCam/Health/;65,27,45.6,Started,Started,NotStarted,Heartbeat,no
12:36:19.417187;MQTT;Send;USS/SS/FwdCam/Health/;65,27,44.9,Started,Started,NotStarted,Heartbeat,no
