12:46:07.171586;Log;Started
12:46:07.171586;MQTT;State;Starting...
12:46:07.202834;MQTT;State;Started
12:46:07.218456;MQTT;Send;USS/SS/FwdCam/Health;65,27,41.7,Started,Started,NotStarted,Heartbeat,no
12:46:10.226045;MQTT;Send;USS/SS/FwdCam/Health;65,27,30.0,Started,Started,NotStarted,Heartbeat,no
12:46:13.242717;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.5,Started,Started,NotStarted,Heartbeat,no
12:46:16.251255;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.5,Started,Started,NotStarted,Heartbeat,no
12:46:18.916868;MQTT;Receive;USS/TS/VC/;Started
12:46:19.260594;MQTT;Send;USS/SS/FwdCam/Health;65,27,60.2,Started,Started,NotStarted,Heartbeat,no
12:46:22.277710;MQTT;Send;USS/SS/FwdCam/Health;65,27,90.8,Started,Started,NotStarted,Heartbeat,no
12:46:25.310102;MQTT;Send;USS/SS/FwdCam/Health;65,27,84.2,Started,Started,NotStarted,Heartbeat,no
12:46:28.322797;MQTT;Send;USS/SS/FwdCam/Health;65,27,62.9,Started,Started,NotStarted,Heartbeat,no
12:46:31.330457;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.2,Started,Started,NotStarted,Heartbeat,no
12:46:34.348153;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.3,Started,Started,NotStarted,Heartbeat,no
12:46:37.360573;MQTT;Send;USS/SS/FwdCam/Health;65,27,40.2,Started,Started,NotStarted,Heartbeat,no
12:46:40.369123;MQTT;Send;USS/SS/FwdCam/Health;65,27,36.4,Started,Started,NotStarted,Heartbeat,no
12:46:43.386805;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.2,Started,Started,NotStarted,Heartbeat,no
12:46:46.395392;MQTT;Send;USS/SS/FwdCam/Health;65,27,26.5,Started,Started,NotStarted,Heartbeat,no
12:46:49.413284;MQTT;Send;USS/SS/FwdCam/Health;65,27,31.9,Started,Started,NotStarted,Heartbeat,no
12:46:52.263952;MQTT;Receive;USS/TS/VC/;Started
12:46:52.420191;MQTT;Send;USS/SS/FwdCam/Health;65,27,64.0,Started,Started,NotStarted,Heartbeat,no
12:46:55.436161;MQTT;Send;USS/SS/FwdCam/Health;65,27,90.4,Started,Started,NotStarted,Heartbeat,no
