21:42:45.820324;Log;Started
21:42:45.826323;MQTT;State;Starting...
21:42:46.835110;MQTT;State;Error, failed to start
21:42:46.841121;MQTT;State;Starting...
21:42:47.844905;MQTT;State;Error, failed to start
21:42:47.850842;MQTT;State;Starting...
21:42:48.856382;MQTT;State;Error, failed to start
21:42:48.862343;MQTT;State;Starting...
21:42:49.867576;MQTT;State;Error, failed to start
21:42:49.873577;MQTT;State;Starting...
21:42:50.878975;MQTT;State;Error, failed to start
21:42:50.885252;MQTT;State;Starting...
21:42:51.890384;MQTT;State;Error, failed to start
21:42:51.895892;MQTT;State;Starting...
21:42:52.901928;MQTT;State;Error, failed to start
21:42:52.907883;MQTT;State;Starting...
21:42:53.913331;MQTT;State;Error, failed to start
21:42:53.918329;MQTT;State;Starting...
21:42:54.924519;MQTT;State;Error, failed to start
21:42:54.930517;MQTT;State;Starting...
21:42:55.934994;MQTT;State;Error, failed to start
21:42:55.940994;MQTT;State;Starting...
21:42:56.947738;MQTT;State;Error, failed to start
21:42:56.953695;MQTT;State;Starting...
21:42:57.957984;MQTT;State;Error, failed to start
21:42:57.963981;MQTT;State;Starting...
21:42:58.967871;MQTT;State;Error, failed to start
21:42:58.973889;MQTT;State;Starting...
21:42:59.978101;MQTT;State;Error, failed to start
21:42:59.984121;MQTT;State;Starting...
21:43:00.989896;MQTT;State;Error, failed to start
21:43:00.995872;MQTT;State;Starting...
21:43:02.001710;MQTT;State;Error, failed to start
21:43:02.007664;MQTT;State;Starting...
21:43:03.013633;MQTT;State;Error, failed to start
21:43:03.019629;MQTT;State;Starting...
21:43:04.037601;MQTT;State;Error, failed to start
21:43:04.043559;MQTT;State;Starting...
21:43:05.049934;MQTT;State;Error, failed to start
21:43:05.055931;MQTT;State;Starting...
21:43:06.061178;MQTT;State;Error, failed to start
21:43:06.067192;MQTT;State;Starting...
21:43:07.072578;MQTT;State;Error, failed to start
21:43:07.078578;MQTT;State;Starting...
