20:49:11.933057;Log;Started
20:49:11.948679;MQTT;State;Starting...
20:49:12.967468;MQTT;State;Error, failed to start
20:49:12.972756;MQTT;State;Starting...
20:49:13.998185;MQTT;State;Error, failed to start
20:49:14.003070;MQTT;State;Starting...
20:49:15.010824;MQTT;State;Error, failed to start
20:49:15.015937;MQTT;State;Starting...
20:49:16.029988;MQTT;State;Error, failed to start
20:49:16.035501;MQTT;State;Starting...
