17:27:23.222312;Log;Started
17:27:23.229308;MQTT;State;Starting...
17:27:23.240321;MQTT;State;Started
17:27:23.248297;MQTT;Send;USS/SS/FwdCam/Health;65,27,62.5,Started,Started,NotStarted,Heartbeat,no
17:27:26.254600;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.9,Started,Started,NotStarted,Heartbeat,no
17:27:29.258885;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.3,Started,Started,NotStarted,Heartbeat,no
17:27:32.265298;MQTT;Send;USS/SS/FwdCam/Health;65,27,36.0,Started,Started,NotStarted,Heartbeat,no
17:27:33.006875;MQTT;Receive;USS/TS/VC;Started
17:27:35.271582;MQTT;Send;USS/SS/FwdCam/Health;65,27,93.4,Started,Started,NotStarted,Heartbeat,no
17:27:38.289866;MQTT;Send;USS/SS/FwdCam/Health;65,27,83.6,Started,Started,NotStarted,Heartbeat,no
17:27:41.302140;MQTT;Send;USS/SS/FwdCam/Health;65,27,89.8,Started,Started,NotStarted,Heartbeat,no
17:27:44.311422;MQTT;Send;USS/SS/FwdCam/Health;65,27,56.8,Started,Started,NotStarted,Heartbeat,no
17:27:47.318704;MQTT;Send;USS/SS/FwdCam/Health;65,27,35.7,Started,Started,NotStarted,Heartbeat,no
17:27:50.324008;MQTT;Send;USS/SS/FwdCam/Health;65,27,30.1,Started,Started,NotStarted,Heartbeat,no
17:27:53.329297;MQTT;Send;USS/SS/FwdCam/Health;65,27,30.3,Started,Started,NotStarted,Heartbeat,no
17:27:56.334577;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.9,Started,Started,NotStarted,Heartbeat,no
17:27:59.339844;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.5,Started,Started,NotStarted,Heartbeat,no
17:28:02.345144;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.6,Started,Started,NotStarted,Heartbeat,no
17:28:05.352411;MQTT;Send;USS/SS/FwdCam/Health;65,27,43.1,Started,Started,NotStarted,Heartbeat,no
17:28:05.955068;MQTT;Receive;USS/TS/VC;Started
17:28:08.380683;MQTT;Send;USS/SS/FwdCam/Health;65,27,92.1,Started,Started,NotStarted,Heartbeat,no
17:28:11.395963;MQTT;Send;USS/SS/FwdCam/Health;65,27,82.6,Started,Started,NotStarted,Heartbeat,no
17:28:14.408243;MQTT;Send;USS/SS/FwdCam/Health;65,27,95.9,Started,Started,NotStarted,Heartbeat,no
17:28:17.421522;MQTT;Send;USS/SS/FwdCam/Health;65,27,85.2,Started,Started,NotStarted,Heartbeat,no
17:28:20.433802;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.3,Started,Started,NotStarted,Heartbeat,no
17:28:23.442104;MQTT;Send;USS/SS/FwdCam/Health;65,27,44.2,Started,Started,NotStarted,Heartbeat,no
17:28:26.448388;MQTT;Send;USS/SS/FwdCam/Health;65,27,25.8,Started,Started,NotStarted,Heartbeat,no
17:28:29.454652;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.3,Started,Started,NotStarted,Heartbeat,no
17:28:32.459938;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.4,Started,Started,NotStarted,Heartbeat,no
17:28:35.465221;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.0,Started,Started,NotStarted,Heartbeat,no
17:28:38.470505;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.8,Started,Started,NotStarted,Heartbeat,no
17:28:41.476791;MQTT;Send;USS/SS/FwdCam/Health;65,27,38.6,Started,Started,NotStarted,Heartbeat,no
17:28:42.106431;MQTT;Receive;USS/TS/VC;Started
17:28:44.530048;MQTT;Send;USS/SS/FwdCam/Health;65,27,93.4,Started,Started,NotStarted,Heartbeat,no
17:28:47.563327;MQTT;Send;USS/SS/FwdCam/Health;65,27,79.4,Started,Started,NotStarted,Heartbeat,no
17:28:50.658554;MQTT;Send;USS/SS/FwdCam/Health;65,27,95.7,Started,Started,NotStarted,Heartbeat,no
17:28:53.671830;MQTT;Send;USS/SS/FwdCam/Health;65,27,64.4,Started,Started,NotStarted,Heartbeat,no
17:28:56.686109;MQTT;Send;USS/SS/FwdCam/Health;65,27,57.0,Started,Started,NotStarted,Heartbeat,no
17:28:59.695393;MQTT;Send;USS/SS/FwdCam/Health;65,27,69.7,Started,Started,NotStarted,Heartbeat,no
17:29:02.702693;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.6,Started,Started,NotStarted,Heartbeat,no
17:29:05.708959;MQTT;Send;USS/SS/FwdCam/Health;65,27,31.4,Started,Started,NotStarted,Heartbeat,no
17:29:08.716331;MQTT;Send;USS/SS/FwdCam/Health;65,27,30.5,Started,Started,NotStarted,Heartbeat,no
17:29:10.842117;MQTT;Receive;USS/TS/VC;Started
17:29:11.723616;MQTT;Send;USS/SS/FwdCam/Health;65,27,70.9,Started,Started,NotStarted,Heartbeat,no
17:29:14.740892;MQTT;Send;USS/SS/FwdCam/Health;65,27,94.7,Started,Started,NotStarted,Heartbeat,no
17:29:17.756171;MQTT;Send;USS/SS/FwdCam/Health;65,27,94.5,Started,Started,NotStarted,Heartbeat,no
17:29:20.769464;MQTT;Send;USS/SS/FwdCam/Health;65,27,48.1,Started,Started,NotStarted,Heartbeat,no
17:29:23.775845;MQTT;Send;USS/SS/FwdCam/Health;65,27,29.0,Started,Started,NotStarted,Heartbeat,no
17:29:26.782150;MQTT;Send;USS/SS/FwdCam/Health;65,27,30.1,Started,Started,NotStarted,Heartbeat,no
17:29:29.788414;MQTT;Send;USS/SS/FwdCam/Health;65,27,28.7,Started,Started,NotStarted,Heartbeat,no
17:29:32.794697;MQTT;Send;USS/SS/FwdCam/Health;65,27,27.4,Started,Started,NotStarted,Heartbeat,no
