12:30:55.557551;Log;Started
12:30:55.573176;MQTT;State;Starting...
12:30:55.586596;MQTT;State;Started
12:30:55.588838;MQTT;Send;USS/SS/FwdCam/Health/;65,27,88.9,Started,Started,NotStarted,Heartbeat,no
12:30:58.593491;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.7,Started,Started,NotStarted,Heartbeat,no
12:31:01.603573;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.3,Started,Started,NotStarted,Heartbeat,no
12:31:04.614764;MQTT;Send;USS/SS/FwdCam/Health/;65,27,47.9,Started,Started,NotStarted,Heartbeat,no
12:31:07.620741;MQTT;Send;USS/SS/FwdCam/Health/;65,27,45.9,Started,Started,NotStarted,Heartbeat,no
12:31:10.632937;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.6,Started,Started,NotStarted,Heartbeat,no
12:31:13.645439;MQTT;Send;USS/SS/FwdCam/Health/;65,27,48.4,Started,Started,NotStarted,Heartbeat,no
12:31:16.655251;MQTT;Send;USS/SS/FwdCam/Health/;65,27,55.5,Started,Started,NotStarted,Heartbeat,no
12:31:19.672317;MQTT;Send;USS/SS/FwdCam/Health/;65,27,53.8,Started,Started,NotStarted,Heartbeat,no
12:31:22.687651;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.1,Started,Started,NotStarted,Heartbeat,no
12:31:25.698185;MQTT;Send;USS/SS/FwdCam/Health/;65,27,51.1,Started,Started,NotStarted,Heartbeat,no
12:31:28.700406;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.5,Started,Started,NotStarted,Heartbeat,no
12:31:31.717777;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.1,Started,Started,NotStarted,Heartbeat,no
12:31:34.720768;MQTT;Send;USS/SS/FwdCam/Health/;65,27,56.1,Started,Started,NotStarted,Heartbeat,no
12:31:37.741955;MQTT;Send;USS/SS/FwdCam/Health/;65,27,54.2,Started,Started,NotStarted,Heartbeat,no
12:31:40.755578;MQTT;Send;USS/SS/FwdCam/Health/;65,27,46.7,Started,Started,NotStarted,Heartbeat,no
12:31:43.763438;MQTT;Send;USS/SS/FwdCam/Health/;65,27,47.1,Started,Started,NotStarted,Heartbeat,no
12:31:46.775631;MQTT;Send;USS/SS/FwdCam/Health/;65,27,40.2,Started,Started,NotStarted,Heartbeat,no
12:31:49.787410;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.2,Started,Started,NotStarted,Heartbeat,no
12:31:52.802130;MQTT;Send;USS/SS/FwdCam/Health/;65,27,35.4,Started,Started,NotStarted,Heartbeat,no
12:31:53.757498;MQTT;Receive;USS/TS/VC/;Started
